HDI Rank,Country,1980,1990,2000,2005,2006,2007,2008,2009,2010,2011,2012,Footnotes
..,Very high human development,73.4,75.5,77.7,78.9,79.1,79.3,79.5,79.6,79.8,80,80.1,
..,High human development,64.8,67.8,69.9,71.4,71.7,72,72.3,72.6,72.9,73.1,73.4,
..,Medium human development,61.4,64.5,66.9,68,68.3,68.5,68.8,69.1,69.3,69.6,69.9,
..,Low human development,50.1,52.4,54.3,56.2,56.7,57.1,57.5,57.9,58.3,58.7,59.1,
1,Norway,75.6,76.5,78.7,79.8,80.1,80.3,80.5,80.7,80.9,81.1,81.3,
2,Australia,74.4,76.8,79.5,80.9,81.2,81.3,81.5,81.7,81.8,81.9,82,
3,United States,73.9,75.2,76.8,77.6,77.7,77.9,78.1,78.2,78.4,78.5,78.7,
4,Netherlands,75.7,77,78.2,79.5,79.7,80,80.2,80.4,80.6,80.7,80.8,
5,Germany,73.2,75.4,78,79.3,79.5,79.7,79.9,80.1,80.3,80.4,80.6,
6,New Zealand,73,75.2,78.2,79.6,79.8,80,80.2,80.4,80.5,80.7,80.8,
7,Ireland,72.5,74.7,76.7,78.7,79.1,79.5,79.8,80.1,80.4,80.6,80.7,
8,Sweden,75.8,77.6,79.6,80.5,80.6,80.8,81,81.1,81.3,81.4,81.6,
9,Switzerland,75.7,77.6,79.9,81.3,81.5,81.7,81.9,82.1,82.2,82.3,82.5,
10,Japan,76.2,79,81.2,82.3,82.5,82.7,82.9,83,83.2,83.4,83.6,
11,Canada,75,77.3,79.1,80.1,80.3,80.5,80.6,80.8,80.9,81,81.1,
12,Korea (Republic of),66.1,71.7,76.1,78.8,79.3,79.7,80.1,80.3,80.5,80.6,80.7,
13,Iceland,76.6,78.1,79.7,81,81.1,81.3,81.4,81.5,81.7,81.8,81.9,
13,"Hong Kong, China (SAR)",74.9,77.5,80,81,81.3,81.5,81.8,82.1,82.5,82.8,83,
15,Denmark,74.3,74.9,76.6,77.8,78,78.2,78.3,78.5,78.7,78.8,79,
16,Israel,74.1,76.5,79,80.1,80.4,80.6,80.8,81.1,81.4,81.6,81.9,
17,Belgium,73.3,76.1,77.8,79,79.3,79.5,79.7,79.9,80,80,80,
18,Singapore,71.6,75.6,78.7,80,80.3,80.5,80.7,80.8,81,81.1,81.2,
18,Austria,72.5,75.5,78.1,79.6,79.9,80.1,80.3,80.5,80.7,80.9,81,
20,France,74.2,76.8,79,80.3,80.6,80.8,81,81.2,81.4,81.5,81.7,
21,Slovenia,71,73.1,75.9,77.7,78,78.4,78.7,78.9,79.2,79.3,79.5,
